363.25	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.27	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.29	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.31	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.33	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.35	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.37	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.39	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.41	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.43	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.45	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.47	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.49	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.51	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.53	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.55	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.57	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.59	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.61	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.63	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.65	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.67	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.69	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.71	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.73	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.75	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.77	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.79	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.81	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.83	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.85	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.87	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.89	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.91	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.93	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.95	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.97	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
363.99	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
364.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
364.03	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
364.05	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
364.07	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
364.09	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
